Sentence	Tokens
يقع الجزء الأكبر من دلتا الدانوب في رومانيا (مقاطعة تولتشيا), في حين أن الجزء الشمالي عند الضفة اليسرى من فرع كيليا فيقع في أوكرانيا (أوديسا أوبلاست).	38
المناخ جافٌ جداً بحيث تعد هذه السهول أحياناً جزءاً من الصحراء الكبرى.	18
وتختلف عن الجزء الغربي من البلاد في أن أبرز تضاريسها غير موازية للساحل.	18
يقع شمال الجزائر في المنطقة المعتدلة ويتمتع بمناخٍ متوسطيٍ معتدل.	16
الأول والأهم كان نهر أوهايو الذي يصب في نهر المسيسيبي.	14
في خضم الصراع كان السؤال ما إذا كانت كانساس ستنضم إلى الاتحاد كولاية تمنع الرق أو كولاية تسمح به.	23
أظهر رد الفعل الوطني تجاه الأحداث في كانساس مدى عمق الانقسام الذي وصلت إليه البلاد.	18
بالنسبة إلى اللون, تظهر الأوراق تنوعاً كبيراً في درجات اللون الأخضر, من المائل إلى الصفرة وحتى المائل إلى الزرقة.	28
كان السكان الأصليون في الأمريكيتين يعتمدون عليه كجزءٍ أساسيٍ من علاجاتهم الطبية.	16
غالباً ما كانت تستخدم الكنائس في شمال غرب أوروبا وأوكرانيا أغصان الصفصاف بدلاً من سعف النخيل في طقوس أحد الشعانين.	27
تزود جبال الألب المناطق المنخفضة الأوروبية بمياه الشرب والري والطاقة الكهرومائية.	14
بالرغم من أن مساحتها تبلغ 11% فقط من مساحة أوروبا, تؤمن جبال الألب ما يصل إلى 90% من المياه إلى المناطق الأوروبية المنخفضة, بالأخص إلى المناطق القاحلة وخلال أشهر الصيف.	36
تعتمد مدنٌ مثل ميلان في 80 بالمئة من مياهها على مجاري المياه السطحية من جبل الألب.	19
تستخدم مياه الأنهار من قبل أكثر من 500 محطة طاقة كهرومائية تولد ما يصل إلى 2900 كيلوواط من الكهرباء.	26
تنبع أنهارٌ أوروبية كبرى من سويسرا, مثل الرايت والرون والإين والتيتشينو والبو, جميعها تنبع من الألب وتجري في الدول المجاورة لتصب في النهاية في بحر الشمال والبحر المتوسط والبحر الأدرياتيكي والبحر الأسود.	45
يطلق على العلم الذي يدرس البراكين اسم علم البراكين أو البركانيات.	16
تكون الماغما في غاية اللزوجة بسبب احتوائها على كميات كبيرة من السيليكا, لهذا لا تصل عادةً إلى السطح بل تبرد تحت الأرض.	32
لا تثور عادةً بشكلٍ كارثي.	10
يسبب الاحتباس الحراري تغيراتٍ في أنماط مواسم الأمطار.	11
تضم هوراً صغيراً لا يزال مملوءاً بالماء.	15
تم إعلانها كمحمية برية عام 1975.	8
تتواصل التحقيقات والبعثات الاستكشافية إلى الجزيرة.	9
من المحتمل أن مثل هذه المستوطنات بدأت عام 1000 ق.ب تقريباً, عندما توجه الميلانيزيون شمالاً.	22
خلال السنوات التي قضتها العائلة في كنتاكي و إنديانا, عمل توماس لينكولن كمزارع وصانع آثاث ونجار.	24
يزيد تدمير الموائل الطبيعية إلى حدٍ كبير من قابلية المنطقة للتعرض إلى كوارث طبيعية مثل الفيضانات والجفاف وانخفاض المحاصيل الزراعية وانتشار الأمراض وتلوث المياه.	27
من ناحية أخرى, فإن النظام البيئي السليم مع حسن الإدارة سيقلل من فرص وقوع هذه الأحداث, أو سيخفف من آثارها على الأقل.	27
يمكن للأراضي الزراعية أن تعاني فعلياً جراء تدمير المناطق الطبيعة المحيطة.	13
على مدار السنوات الخمسين الماضية, أدى تدمير الموائل الطبيعية المحيطة بالأراضي الزراعية إلى إفساد نحو 40% من الأراضي الزراعية حول العالم من خلال التعرية وملوحة التربة ورص التربة واستنزاف المواد الغذائية والتوسع العمراني.	40
كما يفقد البشر الاستخدامات المباشرة للموئل الطبيعي عند تدمير هذا الموئل.	12
غالباً ما توصف بابوا غينيا الجديدة بأنها قد تكون أسوأ مكانٍ في العالم من حيث العنف ضد النساء.	21
لا تزال هذه السلالات النباتية موجودة في بابوا غينيا الجديدة.	12
تعد أمريكا الشمالية وأمريكا الجنوبية قارتين منفصلتين في نموذج القارات السبع.	14
أبحر كريستوفر كولومبوس عبر المحيط الأطلسي نحو جزر الهند الغربية عام 1492, مطلقاً عصر الاستكشافات الأوروبية للأمريكيتين.	27
وهي ليست رائجة جداً بسبب مواقعها النائية والخالية من الطرقات في أغلب الأحيان.	17
تملك جهات خاصة بقية الأراضي, والتي يبلغ مجموعها نحو 1% من أراضي الولاية.	17
وهي أيضاً المنطقة الوحيدة في ألاسكا التي يتجاوز فيها معدل درجات الحرارة القصوى خلال النهار درجة التجمد في أشهر الشتاء.	23
استطونت العديد من الأقوام الأصلية ألاسكا لآلاف السنين قبل وصول الشعوب الأوروبية إلى المنطقة.	18
من هنا سرقوا قارباً صغيراً تركه سكانٌ أستراليون أصليون كانوا يعيشون في المنطقة.	20
مع ازدهار بريزبن, ساءت حالة النهر إلى أن وصل إلى أسوأ أحواله حين أصبح مجرد مكب للصرف الصحي والنفايات.	24
تم الإعلان أن عام 1987 هو "عام النهر" من قبل العمدة اللورد الخاصة بمدينة بريزبن في ذلك الوقت, سالي-آن أتكينسون.	30
العاصفة الرملية والعاصفة الترابية ظاهرتان طبيعيتان تحدثان في المناطق الجافة حيث لا تكون الأرض محمية بغطاء من النباتات.	25
عادةً ما تبدأ العواصف الترابية في أطراف الصحاري وليس داخل الصجاري ذاتها حيث تكون الحبيبات الأدق حجماً قد هبت متطايرةً بالفعل.	32
مع بدء هبوب رياحٍ متواصلة, تبدأ الجزيئات الدقيقة الموجودة في الجزء الظاهر من الأرض بالاهتزاز.	21
مع سرعات الرياح الكبيرة, ترتفع بعض الجزيئات إلى التيار الهوائي.	13
عندما تحط, تضرب جزيئاتٍ أخرى قد ترتفع في الهواء بدورها ليبدأ تفاعلٌ متسلسل.	18
بيد أن التحضر في تايلاند تسبب أيضاً بزيادات كبيرة في مشاكل مثل البدانة.	17
العواصف الرعدية نادرة, إذ لا تشهد المدينة رعداً لأكثر من سبعة أيامٍ في السنة.	22
بحلول عام 1340, كان عدد سكان القاهرة يقرب من نصف المليون, مما جعلها أكبر مدينة غربي حدود الصين.	22
في غضون ذلك, شجعت القدرة الإضافية على التحكم بمنسوب النيل على تطوير جزيرة الزمالك والواجهة المائية للمدينة.	24
يأتي الناتج الإجمالي الصناعي لولاية نيفادا من السياحة والتعدين وصناعة الآلات والطباعة والنشر والصناعات الغذائية والمعدات الكهربائية.	19
اشتق اسم البحر الكاريبي من الكاريب, وهم إحدى مجموعات الأمريكيين الأصليين الذين كانوا يسكنون المنطقة عند وصول الأوروبيين في نهاية القرن الخامس عشر.	28
بعد اكتشاف أمريكا من قبل كريستوفر كولومبوس عام 1492, أخذت الجزر اسمها من لفظة "أنتياس" الإسبانية, ومن ذلك صار اسم "بحر الأنتيل" اسماً بديلاً شائعاً "للبحر الكاريبي" في عدة لغات أوروبية.	49
خلال القرن الأول للتنمية, ظلت هيمنة الإسبان على المنطقة بلا منازع.	14
بدءاً من القرن السادس عشر, عرف الأوروبيون الذين كانوا يزورون منطقة الكاريبي "بحر الجنوب" (وهو المحيط الهادي جنوب برزخ بنما) كمقابل ل"بحر الشمال" (وهو البحر الكاريبي الواقع شمال ذات البرزخ).	46
لم يكن البحر الكاريبي معروفاً لسكان أوراسيا حتى عام 1492, عندما أبحر كريستوفر كولومبوس لأول مرة إلى مياه الكاريبي سعياً وراء العثور على خطٍ بحري إلى آسيا.	37
للأسف, عمل النمو السكاني السريع والزحف العمراني الكبير على حجب الكثير هذه النظم البيئية بالتطور الحديث.	20
الحكومة المحلية لكيب تاون هي بلدية كيب تاون, وهي بلدية شاملة للمنطقة الحضرية.	16
المقال, الذي نشر بعنوان "الأعماق", كان سرداً حياً لرحلة على طول قاع المحيط.	22
كما أنها استغلت علاقاتها الشخصية مع العديد من العلماء الحكوميين الذين أمدوها بمعلومات سرية.	17
بحلول منتصف عام 1962, كان بروكس وكارسون قد انتهيا إلى حدٍ كبير من التنقيح, ويعدان العدة للترويج للكتاب من خلال إرسال مخطوطات لأشخاصٍ مختارين من أجل اقتراحات نهائية.	37
هذا وضع الكتاب موضع اهتمام الصناعات الكيميائية وجماعات الضغط الخاصة بها , إلى جانب شريحة واسعة من الجمهور الأمريكي.	20
خلال خمسينيات القرن الرابع عشر, بات الملك غوغمين مطلق الحرية أخيراً في إصلاح حكومة غوريو عندما بدأت سلالة يوان بالانهيار.	28
منذ منتصف ستينيات القرن العشرين, ازدهر الاقتصاد الكوري الجنوبي بشكل هائل وتغير الهيكل الاقتصادي بشكلٍ جذري.	21
عادةً ما تتضمن مستوى منخفض من المعدات المتطورة, مثل أماكن للنزهات الخلوية ومقاعد وممرات.	21
كان منتزه أستراليا الملكي الوطني, الذي أنشئ عام 1879, ثاني منتزه وطني ينشأ رسمياً في العالم.	21
أولاً وقبل كل شيء, كان الأهم توفير مساحة مفتوحة من أجل أهل المدينة وسكانها في المنطقة التي كانت ترتفع فيها المباني بسرعة كبيرة.	26
مع سقوط سلالة تشينغ عام 1911, أعلنت منغوليا تحت حكم بوغد خان استقلالها.	17
لكن جمهورية الصين التي كانت قد تأسست حديثاً اعتبرت أن منغوليا جزءٌ من أراضيها.	17
رأى يوان شيكاي, رئيس جمهورية الصين, أن الجمهورية الناشئة هي وريثة سلالة تشينغ.	19
قال بوغد خان أن كلاً من منغوليا والصين كانتا تحت إدارة المانشو خلال حكم سلالة تشينغ, وبعد سقوط سلالة تشينغ عام 1911, باتت وثيقة استسلام المنغوليين إلى المانشو لاغية.	39
كانت المنطقة التي حكمها بوغد خان هي تقريباً ما كان يدعى سابقاً بمنغوليا الخارجية خلال حكم سلالة تشينغ.	23
خلال استعجاله للاستيلاء على قادش, ارتكب رمسيس الثاني خطأً تكتيكياً فادحاً.	23
في الواقع, فإن الدراسة البحثية الأولى عن المعركة, والتي وضعها جيمس هنري برستيد عام 1903, أشادت بالمصادر التي سمحت بإعادة تصور المعركة بشكلٍ لا ريب فيه.	33
رمسيس, غير القادر من الناحية اللوجستية على إقامة حصارٍ لفترة طويلة, عاد إلى مصر.	20
وبالتالي وجد الفرعون المصري نفسه في شمال أمورو, متجاوزاً قادش, في تونيب, حيث لم يصل جنديٌ مصريٌ منذ زمن تحتمس الثالث قبل ذلك بنحو 120 عاماً.	41
ادعى هذه المرة أنه خاض المعركة من دون حتى أن يتكبد عناء ارتداء درعه حتى بعد بدء القتال بساعتين.	23
يشكل تحديد السنة الدقيقة لزواج هيرودوس أنتيباس بهيروديا مثار جدلٍ بين الباحثين.	21
نظراً لأن هيرودوس كان في القدس في ذلك الوقت, قرر بيلاطس أن يرسل يسوع إلى هيرودس ليحاكم.	27
وفقاً للعهد الجديد, قضى بولس ثمانية عشر شهراً في كورينث, بعد نحو سبعة عشر عاماً من اعتناقه للمسيحية.	29
لا يمكن للتاريخ الأخير إلا أن يوافق يوم الجمعة إذا ما أقحم شهرٌ استثنائيٌ إلى ذلك العام, لكن هذا ما ارتآه نيوتن.	28
من الممكن معرفة طور القمر في يومٍ معين قبل ألفي عام لكن ليس إذا كان محجوباً بالغيوم أو الضباب.	25
شيدت قلاعٌ أيضاً في الأجزاء القديمة من نيو فرانس والتي لم تكن قد استوطنت بعد.	22
وهذا وضع أساساً لتحقيق التكامل حيث كان يمكن تطبيق الآليات الاقتصادية والقضائية في كل أرجاء البحر المتوسط كما حدث ذات يوم بدءاً اللاتيوم إلى أرجاء إيطاليا.	30
تروي كل قصيدة جزءاً واحداً فقط من الحرب.	12
في العصور اللاحقة, كان بوسع المسرحيين والمؤرخين وغيرهم من المثقفين تأليف أعمالٍ مستوحاة من حرب طروادة.	24
وقد ظهرت نبوءةٌ تقول أنه إما سيموت بالشيخوخة بعد حياةٍ هادئة, أو سيموت يافعاً في أرض المعركة وسيكتسب الخلود من خلال الشعر.	30
لكن هذا ألغي عند مقتل جوليان في إحدى المعارك عام 363.	12
يعتقد أن آخر دورة ألعابٍ أولمبية أقيمت عام 393.	12
سرعان ما أبهر "شين كيو" "وانغ أنشي" بمهاراته وقدراته كمسؤولٍ ووكيلٍ عن الحكومة.	25
عام 1072, أرسل شين للإشراف على برنامج وانغ لمعاينة تشكل رواسب الطمي في القناة الصينية الكبرى خارج العاصمة.	23
باستخدام تقنية مبتكرة, جرف شين القناة بنجاح وأثبت القيمة الكبيرة للطمي المجموع كسماد.	19
اكتسب المزيد من الصيت في البلاط عندما أوفد كمبعوثٍ إلى سلالة لياو الخيتانية في صيف عام 1075.	25
قام الخيتانيون بالعديد من المفاوضات العدوانية من أجل مد حدودهم نحو الجنوب, بينما تلاعبوا بالعديد من السفراء الصينيين غير الأكفاء والذين رضخوا لمطالب مملكة لياو.	34
درس الطب أيضاً, خصوصاً في جنوب إيطاليا, حيث كان للطب الإسلامي تأثيراً على المدرسة في ساليرنو.	23
نقل أن تيبيريوس أبدى ندمه على رحيله وطلب أن يعود إلى روما عدة مرات, لكن في كل مرة كان أغسطس يرفض طلبه.	28
يبدو أنه قد تمنى أن يتصرف مجلس الشيوخ والدولة من دونه وكانت أوامره المباشرة غامضة نوعاً, مما كان يشعل جدالاتٍ بشأن مقاصده أكثر مما كانت تمر تشريعاته.	36
كانت الآلهة تمثل بوضوح الاحتياجات العملية للحياة اليومية, وكانت تمنح بكل دقة الطقوس والقرابين التي كانت تعتبر لائقة.	21
كان ذلك عبر القارب من أوروبا القارية.	8
كانت البقايا الشعائرية المكتشفة في الموقع عبارة عن صفٍ من عشرة أحجار كبيرة واقفة, تعرف باسم حجر الحدود, تشير صوب الشمال والجنوب, يبلغ ارتفاع أطولها 3 أمتار, مع وجود هيكل على شكل مذبح في الوسط, وحوض حجري كبير مربع الشكل.	51
لا تزال الغاية المحددة لهذه الأحجار الضخمة مثار جدل, لكن ربما كانت تشكل "مكان عبادة" كنعاني من العصر البرونزي الوسيط حوالي عام 1600 قبل الميلاد.	34
دمرت المدينة الكنعانية بفعل حريقٍ من المفترض أنه حدث في أعقاب حملةٍ قام بها الفرعون المصري تحتمس الثالث.	26
أقدم إشارة تاريخية معروفة عن المدينة موجودة في معبد تحتمس في الكرنك على نقشٍ يتحدث عن المواقع التي احتلت.	25
تضم رسائل تل العمارنة, التي تعود إلى القرن الرابع عشر قبل الميلاد, عشر رسائل من ملوك تل الجزر تقسم بالولاء للفرعون المصري.	30
يسجل في شهادة الميلاد التايلاندية تاريخ اليوم والشهر وساعة الولادة, يليها يوم الأسبوع والتاريخ القمري واسم البرج الحيواني المطبق في تلك السنة.	30
برجها الحيواني هو القرد وكانت ذكراها السنوية الستين التقليدية الكبيرة عام 1992.	15
الألوان المباركة لليوم موجودة في جدول أيام الأسبوع, وتحتها رابط إلى صور بوذا لكل يومٍ من أيام الأسبوع.	25
السنة الصينية الجديدة وغيرها من الأعياد التي يتقيد بها التايلانديون الصينيون تختلف بما يتعلق بالتقويمين معاً, حيث أنها تحسب وفقاً للتقويم الصيني.	30
بالإضافة إلى ذلك, عزز الدفاعات بين مصر وآسيا, مشيداً أسوار الحاكم في منطقة شرق الدلتا.	23
حكم خمس عشرة سنة فقط, ويدل على ذلك عدم اكتمال العديد من منشآته.	17
بالرغم من ذلك, يبدو أن كليهما سيطر على أجزاءٍ على الأقل من مصر السفلى.	18
في 9 أيلول من عام 2002, استدرج ألدرين إلى فندقٍ في بيفرلي هيلز بحجة إجراء مقابلة من أجل برنامج تلفزيوني ياباني للأطفال موضوعه الفضاء.	31
تزوج ألدرين ثلاث مرات.	7
عام 1519, أصبح حاكم إمبراطورية هابسبورغ, ثم حاز على لقب الإمبراطور الروماني المقدس عام 1530.	22
كان ينظر إلى كارلوس بالرغم من أفعاله القاسية على أنه حاكمٌ متعاطفٌ مع حاجات هولندا.	19
عام 1566, قدمت مجموعة مكونة من نحو 400 شخص من النبلاء عريضة إلى الحاكمة مارغريت دوقة بارما لوقف الاضطهاد حتى عودة البقية.	27
تسبب صراعها ضد الإمبراطورية العثمانية في البحر المتوسط بتقييدٍ كبيرٍ للقوة العسكرية التي كان يمكن توجييها ضد المتمردين في هولندا.	28
أنشئ مرصدٌ فلكي من العصر البرونزي هناك عام 1900 ق.م تقريباً وظل يخدم المجتمع الذي كان يعيش هناك بشكل متواصل حتى عام 700 ق.م تقريباً.	35
استخدمت المساحة المركزية لمراقبة شروق الشمس واكتمال القمر.	10
تحدد ثلاث علامات موقع شروق الشمس في الانقلابين الشمسيين الصيفي والشتوي وفي الاعتدالين.	22
أربع علاماتٍ أخرى تعطي ميل القمر المكتمل الأدنى والأقصى: في الصيف, وفي الشتاء.	19
وعلامتان تقيسان طول الأشهر القمرية.	10
تكمن أهميته في حقيقتين.	7
وخلال العصر ما بعد الكلاسيكي في يوكاتان استخدم نظامٌ ثالث.	15
ثمة جدلٌ كبيرٌ على أصل كلمة هسبانيا وتستند أدلة كل التخمينات المختلفة في أحسن الأحوال على مجرد تشابهات من المرجح أن تكون من قبيل الصدفة, وعلى أدلة ظنية داعمة.	37
لكن تأثير إسبانيا على الوافدين الجدد كان كبيراً أيضاً.	11
خلال المرحلة الأولى من الرومنة, قسمت شبه الجزيرة إلى قسمين من قبل الرومان لأغراض إدارية.	18
بحلول القرن الثالث, أحدث الإمبراطور كركلا تقسيماً جديداً استمر لفترة وجيزة فقط.	18
لقد أثر فيهما جمال منطقة بحيرة روديارد إلى درجة أنهما عند ولادة طفلهما الأول ألحقا اسمها باسمه.	21
خلال وجوده هناك أيضاً, التقى كيبلينغ ووقع في حب فلورانس غارارد التي كانت ترافق تريكس في ساوثسي (التي عادت إليها تريكس).	31
جعل ستيفين ويلر, المحرر, كيبلينغ يعمل بجد, غير أن حاجة كيبلينغ إلى الكتابة لم يكن بالإمكان إيقافها.	27
بالعودة إلى لاهور, ظهرت نحو 39 قصة في الجريدة الرسمية بين تشرين الثاني 1886 وحزيران 1887.	22
لكن في هذه المرة, كان يفكر على نحوٍ متزايد بالمستقبل.	13
بالرغم من أن رواية "جين بينغ مي", التي صدرت عام 1610, تتضمن مواد سابقة, فهي تظهر النزعة نحو التكوين المستقل والاهتمام بالسيكولوجيا.	31
ازدياد معدل التحاق الذكور بالمدرسة الثانوية وزيادة الناتج القومي للفرد والنمو الاقتصادي, كلها عواملٌ ساهمت إلى حدٍ بعيد في تقليل فرص قيام حربٍ أهلية.	30
بشكلٍ خاص, زيادة التحاق الذكور بالمدرسة الثانوية بنسبة 10% فوق المعدل قللت من فرص اندلاع نزاع بنسبة 3%, في حين أسفر معدل نمو أكبر بنسبة 1% من المعدل المذكور في البحث إلى انخفاض فرص اندلاع حربٍ أهلية بنحو 1%.	47
فسر البحث هذه العوامل الثلاثة كوسائل لإهدار مكاسب من قبل تمردٍ ما, وبالتالي تشجع هذه المكاسب المهدرة على التمرد.	25
بعبارةٍ أخرى: يصبح الشباب من الذكور (الذين يشكلون غالبية المقاتلين في الحروب الأهلية) أقل عرضةً للانضمام إلى تمردٍ إذا كانوا يحصلون تعليماً أو ينالون دخلاً مريحاً, ويمكن الافتراض إلى حدٍ كبير أنهم سينجحون في المستقبل.	50
طرح الناتج القومي للفرد كسببٍ للشكوى, التي تؤدي إلى عصيانٍ مسلح.	15
بشر ضمانه للحريات بإنهاء التوترات بين الطوائف وتحويل الإمبراطورية إلى مكانٍ أكثر انسجاماً.	17
قلبت الثورة العربية الكبرى التي انطلقت عام 1916 الطاولة على العثمانيين في جبهة الشرق الأوسط, حيث ظهر في البداية أن لهم يد العليا خلال أول سنتين من الحرب.	34
يناقش على وجه التحديد في العديد من الفقرات التأثيرات الاجتماعية والثقافية السلبية للحرب على الإنسانية ذاتها.	18
كان الكاهن الدومينيكاني هينريش كريمر مساعداً لكبير أساقفة سالزبورغ.	18
في عام 1538, حذرت محاكم التفتيش الإسبانية أعضاءها بألا يصدقوا كل ما ذكره كتاب مطرقة الساحرات.	20
كان التعميد القسري يتعارض وتعاليم الكنيسة الكاثوليكية, ومن الناحية النظرية كان يمكن لأي شخصٍ عمد قسراً أن يعود قانونياً إلى اليهودية.	29
طردت إسبانيا سكانها من اليهود الشرقيين عام 1492, وقد غادر الكثير من أولئك اليهود الإسبان إسبانيا نحو البرتغال لكنهم استهدفوا هناك أيضاً في نهاية المطاف.	31
رسمت الحدود الشرقية لمقدونيا مع تراقيا عند نهر نستوس (نهر ميستا).	19
ثم زحف فيليب لضرب أعدائه الجنوبيين.	10
هزم أعداءه في ثيساليا بحلول عام 352, وكان مسيطراً بقوة على هذه المنطقة.	20
تقدم الجيش المقدوني حتى ممر ثيرموبيلاي الذي يقسم اليونان إلى قسمين, لكنه لم يحاول الاستيلاء عليه لأنه كان محمياً جيداً من قبل قوات مشتركة من الأثينيين والإسبارطيين والأخائيين.	43
بعد أن أمن المناطق الحدودية لمملكة مقدونيا, جمع فيليب جيشاً مقدونياً كبيراً وزحف نحو عمق الأراضي التراقية في حملة غزوٍ طويلة.	30
كانت كاثرين إمبراطورة روسيا في غاية الرضى أيضاً.	11
طوال فترة الحرب, كثر استخدام هجوم بيرل هاربر في الدعاية الأمريكية.	14
هذا التصور المثالي لعائلة رومانوف الملكية أعماه عن رؤية الوضع الحقيقي لبلاده.	16
كانت الإمبراطورية الروسية تشكل تكتلاً يضم أعراقاً متنوعة ويظهر مؤشرات كبيرة من التفكك في السنوات التي سبقت الحرب العالمية الأولى.	26
ازدهرت هذه المدينة-الدولة في ذات فترة مملكة سوكوتاي.	15
أدى هذا الاتصال بالغرب خلال القرن السادس عشر إلى فترة من النمو الاقتصادي الكبير مع إنشاء طرق التجارة المربحة.	23
أبلى الجيش بلاءً حسناً في القتال في كوبا.	12
ومع ذلك, كان موجهاً بشكل كبير إلى مواقع صغيرة في الغرب وغير مؤهلٍ بشكلٍ جيد لخوض الحروب الخارجية.	23
كان يعتمد على المتطوعين ووحدات ميليشيا الولاية, والتي واجهت مصاعب لوجستية وتدريبية وغذائية في نقاط الانطلاق في فلوريدا.	22
حررت الولايات المتحدة كوبا (بعد احتلالها من قبل الجيش الأمريكي).	13
وفق معاهدة السلام, تنازلت إسبانيا للولايات المتحدة عن مستعمراتها في بورتوريكو وغوام والفلبين.	18
انطلق الهجوم ضد الجيش الهائل الذي جمعته البندقية من فرنسا.	13
بحلول عام 1563, كان عدد سكان البندقية قد انخفض إلى نحو 168 ألف نسمة.	17
كان التعليم خلال عصر النهضة يتألف بشكلٍ أساسيٍ من الآداب القديمة والتاريخ حيث كان يعتقد أن الكلاسيكيات تبرز التعاليم الأخلاقية وفهماً كبيراً للسلوك الإنساني.	33
مع ذلك كانت هناك دراسات ديمغرافية وسكانية معمقة تتضمن النساء, وخصوصاً أدوارهن في الإنجاب.	19
تأتي معظم المعلومات عن تلك الفترة من المدافن والأغراض الجنائزية التي تحويها.	18
في ذلك الوقت, لم تكن تعيش هناك سوى أربعين عائلة تقريباً مع الكثير من الأراضي الزراعية الجيدة والمراعي من أجل الماشية.	24
مع إرسال اليونان لمستعمرين غرباً نحو صقلية وإيطاليا (إسكيا وكوماي), امتد تأثير أبجديتهم الجديدة بشكلٍ أكبر.	29
الموز وموز الجنة, اللذان زرعا من قبل الإنسان لأول مرة في جنوب شرق آسيا, غالباً في بابوا غينيا الجديدة, أعيدت زراعتهما في أفريقيا قبل 5000 عام على الأرجح.	38
إلى جانب كونها مصدراً مباشراً للغذاء, يمكن لبعض الحيوانات أن توفر الجلود والصوف والأسمدة.	20
وقد أدخل تغييرٌ جذريٌ في مبادئ العمل بوساطة الأسكتلندي جيمس واط.	16
خلقت الثورة الصناعية طلباً للقطع المعدنية المستخدمة في الآلات.	13
في الحرب الميسينية الثانية, برهنت إسبارطة على أنها قوة إقليمية في شبه جزيرة بيلوبونيز وفي سائر أراضي اليونان.	24
حصلت فورد تي على لقب السيارة الأكثر تأثيراً في القرن العشرين خلال حفل توزيع جوائز سيارة القرن العالمية.	21
النجاح الذي لقيته سيارات رامبلر صغيرة الحجم التي كانت تصنعها شركة أميريكان موتورز دفع شركتي جنرال موتورز وفورد لطرح سياراتها صغيرة الحجم عام 1960.	35
لم يخف هذا العرف في العصر الحديث إلا بنحوٍ بسيط ولا يزال من غير المستحسن الآن أن يخاطب الأصدقاء بعضهم البعض بأسمائهم الأولى, إذ ما فتئ استخدام اسم العائلة في التخاطب شائعاً.	38
في حالة العائلة الإمبراطورية, من غير الملائم بتاتاً استخدام الاسم الأول.	14
منذ الإمبراطور مييجي, جرت العادة أن يكون لكل إمبراطور عهدٌ خاصٌ به وأن تعاد تسمية الإمبراطور بعد وفاته باسم العهد الذي حكم فيه.	28
قبل الإمبراطور مييجي, كانت أسماء العهود تتغير بشكلٍ أكبر, وكان يتم اختيار أسماء الأباطرة بعد وفاتهم بطريقة مختلفة.	27
خارج اليابان, وبدءاً من الإمبراطور شووا, بات يشار إلى الأباطرة عادةً بأسمائهم الأولى, سواء خلال حياتهم أو بعد وفاتهم.	30
في آسيا ومنطقة المحيط الهادي, قتل ما بين 3 ملايين وأكثر من 10 ملايين مدني, غالبيتهم من الصينيين (يقدرون ب7,5 مليون), على يد قوات الاحتلال اليابانية.	36
في أوروبا, وقبل اندلاع الحرب, كان للحلفاء أفضلية كبيرة من ناحية التعداد السكاني والاقتصاد.	19
تغيرت الحرب البرية من الجبهات الأمامية الثابتة كما كان الأمر في الحرب العالمية الأولى إلى زيادة القابلية على الحركة والجمع بين الأسلحة.	25
تلقى جنود سلاح الفرسان البريطاني أيضاً تدريباً ممتازاً على المبارزة فوق ظهور الخيل.	19
يؤكد بعض المؤرخين, مثل تشاندلر وويلر, أن فعالية فرقة الخيالة البريطانية الثقيلة أعطبت بعد أول هجومٍ ملحمي.	28
وفقاً لدراسة جينية على البيانات الصبغية الخاصة بالغجر, فإن الأصل الآسيوي الجنوبي عند الغجر يعود إلى شمال غرب الهند.	24
تعتمد التفسيرات الخاصة بأصل الموسيقى على كيفية تعريف الموسيقى.	12
عند البشر, كلٌ من الذكور والإناث مغنون متحمسون, وعزف الموسيقى نشاط جامع في أغلب الأحيان.	21
عام 1839, وجدت الصين نفسها منخرطة في حرب الأفيون الأولى ضد بريطانيا العظمى بعد أن منع لين زيشو الحاكم العام لمقاطعتي خونان وخوبي تجارة الأفيون الخارجية.	35
هزمت الصين, وفي عام 1842 وافقت على الأحكام الواردة في معاهدة نانجينغ.	17
تم التنازل عن جزيرة هونغ كونغ لبريطانيا, وفتحت مرافئ معينة, منها شنغهاي وغوانزو أمام المقيمين والتجارة البريطانية.	23
عام 1856, اندلعت حرب الأفيون الثانية, هزم الصينيون مجدداً وأجبروا على القبول بشروط معاهدة تيانسين لعام 1858 ومعاهدة بكين لعام 1860.	29
أتاحت المعاهدة مرافئاً جديدةً للتجارة وسمحت للأجانب بالسفر إلى الداخل الصيني.	17
رافقت "لامار" "ماندل" إلى اجتماعات العمل حيث كان يجتمع مع العلماء وغيرهم من العاملين المنخرطين في مجال التكنولوجيا العسكرية.	27
تضمنت أولى اختراعات لامار إشارة مرور مطورة وقرص يذوب في الماء لصنع مشروبات غازية.	22
عرض عليها العديد من السيناريوهات والإعلانات التلفزيونية والمشاريع المسرحية, لكن لم يثر أيٌ منها اهتمامها.	18
جوزيف دارناند, الذي أصبح ضابطاً في وحدات إس إس وقاد مجموعات ميليس شبه العسكرية التي كانت تطارد عناصر المقاومة, أعدم في تشرين الأول من عام 1945.	34
أوعز ديغول بألا يكون هناك احتفاءٌ شعبيٌ زائدٌ بتشرشل, وألا يمنح جوائز رسمية من دون موافقته المسبقة.	27
يروي الفيلم الدمار الذي لحق بحياة كارانغي وبمسيرتها المهنية جراء إدمانها على الهيروين, بالإضافة إلى تراجعها ووفاتها بسبب مرض الإيدز في منتصف الثمانينيات.	32
