Sentence	Characters	Bytes
77. 在过去三年里，黑山贩运未成年人案件的统计数字如下：	28	78
每个人都有擅长的事	9	27
为此，国际刑事法院可在诉讼过程的任何时候要求本国法院将案件交给它。	33	99
117. 联合国改革：措施和提议。	16	40
12. 阿塞拜疆政府转交了阿塞拜疆共和国人权专员和阿塞拜疆国家科学院人权机构的提议。	41	117
一定是遇上麻烦事儿了	10	30
我是轮机长 我花好多年才获得那职位	16	48
我留下电话	5	15
因此，编纂司在尽一切可能向各国代表团通报国际法委员会的工作并将继续这样做。	37	111
你以为 他为什么守着浑身是缺点的你？	17	51
环境署在区域一级和国家一级支持了近100个国家推广更清洁的燃料和车辆。	35	99
(d) 强调联合国发展系统应进一步发挥其在区域一级的能力，加大特别是对非洲摆脱冲突国家的连贯一致的综合支持，以防止冲突在区域或次区域内外溢和复发，并促进民族和解、冲突后恢复和可持续发展；	92	270
在《个人地位法》中，继承问题原则上以《古兰经》为依据，并受以下条款制约：	36	108
他在筹资机制和传授指令方面发挥了一定的作用。	22	66
柬埔寨皇家政府已经将人权事务处高级专员办事处在柬埔寨的任期再延两年,同时非常赞赏该办事处在帮助建立当地人权团体及训练人权工作者。	64	190
剃掉了一点你脚上的皮	10	30
马达加斯加共和国常驻联合国代表团向安全理事会第1267（1999）号决议所设委员会主席致意，并谨就2002年3月7日委员会主席的照会及2002年5月22日本代表团的照会通知如下：马达加斯加政府已经采取必要措施，执行关于禁止出售和转让军火及军事物资、禁止提供与塔利班控制下武装人员的军事活动有关的技术援助或训练的第1333（2000）号决议；马达加斯加政府愿意严格遵守关于对乌萨马·本·拉丹、 " 基地 " 组织成员和阿富汗塔利班维持制裁的第1390（2002）号决议。	230	610
他说当时从天上掉下来各种断胳膊断腿 没错 可以这么说	24	72
这里是什么?	6	16
-喂？  -迪娜 是我	8	20
[关注毁林所致排放量对全球人为温室气体排放量的增加作用，]	29	83
就在特拉法戈灯塔附近吗？	12	36
加强相关的欧洲和国际机构之间的合作，以便互相加强各自打击种族主义的行动。	36	108
希芙，卡尔，洁莉，罗谬勒斯 去与会向我回报	20	60
58． 1998年，该区域外债增至约7000亿美元，名义条件增长了7%，其速度比上一年快，与1995年的增长率相似。	57	139
根据联合国调查和受害者调查，大洋洲的机动车盗窃案的发生率最高（见图十一和图十二）。 应该注意的是，在非洲，受害者调查的被调查者中，1%以上的人是劫车事件（即在司机还在车里时，以枪口相威胁，使用暴力盗窃汽车）的受害者；因此，该区域的受害率几乎翻了一番。	124	368
那身为女主人的男朋友	10	30
有几个司机 还有他的小女儿	12	36
我确定那不是事情的全部	11	33
有关《公约》批准状况的资料载于ICCD/COP(2)/Inf.3号文件。	36	74
1. 组织和程序事项 1 - 12 3	14	28
26. Valero Briceño先生(委内瑞拉玻利瓦尔共和国)回顾波多黎各人民和委内瑞拉人民之间的历史关系说，美利坚合众国对波多黎各的殖民统治违背了《联合国宪章》和大会第1514(XV)号决议的精神和宗旨。 因此，该国代表团请求大会从各个方面审议波多黎各问题。	129	336
其次是支出，就像做普通生意一样， 经费越多人手越多。	25	75
一些缔约方指出，应在偏离 " 一切照旧 " 排放趋势的基础上为可衡量、可报告和可核实的缓解行动提供资金。	48	140
你似乎没有考虑过她的安全问题	14	42
议程项目92(续)	9	19
造成资发基金经常资源过去十年来减少的因素包括：若干国家减少其捐款，每年捐款额超过100万美元的国家的数目减少，以及美元比其他货币强劲。	67	195
委员会不建议核准文件索引编制股增设13个员额(1个P-2和12个一般事务人员)。	40	100
国际田总世界越野锦标赛	11	33
亨利·彭加勒	6	17
来吧，夏绿特	6	18
该组织指出对媒体加以限制的主要行为方，包括国家情报局、警察、地方和省当局、音像和通信理事会、通信和媒体部以及 " M23运动 " 。	62	176
每年预算减少9,000美元（接待和非消耗性设备）。	25	65
没人受得了那个女人	9	27
好的，阿里逊，你找到头了吗？	14	42
善政是制约科索沃机构的优先目标。	16	48
早上起来你们就去车库开始收拾 好吗?	17	49
我们偷了那笔钱	7	21
我已经用那些女孩。	9	27
我会拼死努力 握着刀柄 直到干掉白宰民...	20	54
因此，该司只在恩吉利机场运作，对共和国东部没有任何管辖力。	29	87
睡在驱虫蚊帐内的五岁以上儿童比例更低（不到2％）。	25	73
寿命约为 选择，男人。	10	30
(a) 继续协助旨在为战略框架调集资源的各项行动；	24	66
委员会建议，在采取这些措施的同时，还应开展关于虐待儿童的负面后果的公众教育运动。	40	120
60/1 上海宣言	8	16
(c) 请儿童与武装冲突问题工作组与安全理事会有关制裁委员会加强交流，包括交流武装冲突中侵害和虐待儿童行为的相关信息；	58	168
我们都是聪明的女人 聪明的女人不相信男人 更不相信爱情	25	75
若你有任何需要 就打给我	11	33
20. 在印度，1992年通过的第七十三和七十四次宪法修正案规定，在三级地方政府中妇女占三分之一席，地方政府机构中的主席三分之一由妇女担任。	69	193
已在下述地点的联苏特派团分队部署了联合国警察：托里特、阿韦尔、本秋、梅卢特、博尔和阿卜耶伊。	46	138
(k) 训练(经常预算和其他摊款)：保持专业训练高标准，确保安保人员接受良好的基本安保职能训练，并接受技术和专业交叉训练；与训练和发展科合作一起在总部和其他主要地点提供培训支助服务，确保全系统采用统一的培训标准。	105	305
那210万是他们的赔偿金 他们已经收到了	19	51
它还将确保学校有责任考虑如何解决对恐惧同性恋和变性者相关的欺凌问题。	34	102
联合国日内瓦办事处是使用退休的前工作人员最多的第二个单位，共雇用44人（占总数的11％），为4 647个工作天，费用为100万美元。	65	173
委员会要求中非经共体秘书长与中非经共体国家驻联合国代表一起筹建这一评价团。	37	111
- 格鲁吉亚劳工、卫生和社会事务部第一副部长；	22	64
2003年6月发起的一个教养系统改革项目包括恢复喀布尔监狱和拘留中心的能力并建立一个专门的妇女拘留中心。	52	146
土耳其、美国联合国协会/哈佛大学关于转型时期司法问题项目	28	82
此外，委员会还关切行动计划缺乏具体的监测和评价制度。	26	78
让我跟他好好打一场	9	27
增加经费是由于为了加强图书馆的活动而将口译、会议和出版事务的3个一般事务人员员额(其他职等)改调到图书馆、以及通过改组和合并职能裁撤了1个一般事务人员(其他职等)的净结果。	86	246
刑事司法体系的资源往往优先用于其他执法行动，不仅如此，由于缺乏私人部门的积极合作，这些资源也不适合开展教育努力。	56	168
规划团认为，由于法庭设施将设在弗里敦，不适宜使用离开法庭很远的拘留设施，因为运送被告人有太大的风险，防弹车辆和警卫部队的额外费用过高。	67	201
抓住枪。	4	12
两国官员之间利用一切通信手段和亲身会晤进行经常对话对于司法协助请求取得成功非常重要。	42	126
-不知道 我都很久没读了	11	31
这些原则要求在每个国家支持一项国家计划、一种协调机制和一种监测和评价系统。	37	111
出口复原的速度比进口要快。 因此该区域商品和劳务贸易以及经常帐户的赤字大幅度减少。	40	120
可是 ， 我们已经看到在场的很多人都吃过昆虫 ， 尽管有些只是偶然吃了一次。但我要告诉大家 ， 我们每个人都吃昆虫 ， 无一例外。	57	171
一名国际联合会联合国非政府组织代表参加会议。	22	66
31. 专题小组进而审议了中小微企业退出机制，包括此类机制的重要性，设计有效机制时面临的例如这类机制供资手段等主要挑战，以及可能的解决办法，同时指出需要消除往往与中小微企业破产联系在一起的污名。	96	282
快 快 快 快!	5	13
《全球就业契约》为这一努力提供了宝贵的工具，各国及联合国系统借此得以重点处理失业和就业不足这一全球优先事项。	54	162
关于耶路撒冷市政当局向巴勒斯坦人提供服务和基础设施的问题，非政府组织的描述是，各种服务和基础设施明显荒废，卫生服务欠缺，污水和排水基础设施破旧，20 这都使得巴勒斯坦人难以达到以色列设置的发放建筑许可证标准。	103	305
就决议草案A/C.6/64/L.14采取行动	22	40
你没看到你的脑子 在发生什么吗？	15	45
小学中男生数量将近是女生的两倍。	16	48
J 我知道你现在又在动歪脑筋	13	37
联合国在向会员国提供服务时，应汲取联合国教育、科学及文化组织的经验教训，在与私营部门交往方面谨慎从事。	51	153
我一心想搞好这事	8	24
我如果拿了钥匙,我会说"拿了" 显然我没拿那该死的钥匙	26	72
我以为你收山了	7	21
非政府组织委员会2010年常会的报告	18	46
凡 得 胜 的 、 必 这 样 穿 白 衣 ． 我 也 必 不 从 生 命 册 上 涂 抹 他 的 名 ． 且 要 在 我 父 面 前 、 和 我 父 众 使 者 面 前 、 认 他 的 名	48	144
水牛可以放松。 没有人打扰他们至今。	17	51
唯一没有做的是 对他的咳嗽完全不起作用	18	54
- 大韩民国特别对恐怖主义分子实行严格的移民控制，包括安全理事会规定禁 止旅行的塔利班和 " 基地 " 组织成员。	51	147
巴西、哥斯达黎加、科特迪瓦、厄瓜多尔、洪都拉斯、伊朗伊斯兰共和国、牙买加、利比里亚、肯尼亚、尼加拉瓜和乌干达 加入成为决定草案提案国。	66	198
-照顾好彼此	6	16
我们既然都不知道那些编号 又怎么跟你们提交需要的编号？	26	78
另外，世界卫生组织估算称，化学品导致的疾病占全球疾病负担的25%。	33	93
-让你按了手印？	8	22
1. 2003年7月8日A/58/102号文件指出，大会本届会议需要任命联合国会费委员会六名成员，自2004年1月1日起，任期三年，以补该委员会即将出现的成员空缺。	81	199
184. 以色列的劳动法，包括延长令和集体协议等，除了适用于普通以色列工人外，同样适用于外国劳工。	48	136
这很复杂，我知道你本应该报警...	17	45
把它放到抽屉里 小子	9	27
但也许我们正需要阳光	10	30
王 起 誓 说 、 我 指 著 救 我 性 命 脱 离 一 切 苦 难 、 永 生 的 耶 和 华 起 誓	27	81
71. 关于歧视男女同性恋、双性恋、变性人和两性人的问题，代表团承认在保护这一群体的权利方面存在着挑战，并承认芬兰对男女同性恋、双性恋、变性人和两性人权利的保护不够显著。	84	246
我特别为今天而录了那盒带 我特别为你录的星期一早上录音带	27	81
b 报告捐款时没有进一步细目。	14	40
你还没有找到你的意中人	11	33
你就像是我的家人	8	24
缔约国主管当局有义务依照善意原则行使其权力，以适用并解释国内法，但须遵守《公约》所规定的诸如在法律之前一律平等之类的规定(第二十六条)。	68	200
由于有切实必要加强国家、分区域、区域和国际一级的协调努力，以增强对国际恐怖主义和跨国有组织犯罪、非法贩毒、洗钱、非法贩卖武器以及非法运送核、化学、生物物质和对国际安全造成严重威胁的可能致命的物质所作出的全球反应。 爱沙尼亚已加紧努力，并尽力地适当应付当代的挑战。	130	390
由此进行的分析导致确定了一系列具有成本效益且强有力的减少低地球轨道碎片的措施，同时还对机构间空间碎片协调委员会关于地球静止圈上空间系统重返轨道的准则进行了评价。	80	240
本报告最后提出了加快落实防治疟疾活动的若干建议，供大会审议。	30	90
107. 黑山欢迎喀麦隆签署《罗马规约》和《禁止酷刑和其他残忍、不人道或有辱人格的待遇或处罚公约任择议定书》，并鼓励完成批准这些文书所需的程序。	71	205
那你等我一下 我换个衣服 马上好	14	42
我不知道我喜不喜欢小提琴	12	36
已经为这些国家制订可以用数量衡量的、有针对性的承诺，并且制订了具体时间表。	37	111
季刊定期增订性别统计数字以及关于性别问题的最新决议、行政指示及其他政策和问题。	39	117
向政府间/专家机构提供服务	13	37
一个力图对另一国实行单方面制裁的国家立法的治外性质，是对《宪章》所载原则的否定，也与国际法背道而驰。	50	150
大家起来	4	12
女儿，请你看着我	8	24
他强调指出，可持续发展的社会层面在实现发展中是至关重要的，而包容性经济增长必须推动有效的国家减贫计划。	51	153
到1999年，公共部门的雇员人数占全部从业人员的45%，而居民人口中的失业率已达约15%，但其潜在的趋势呈下降势头。	58	154
艾丽丝呢？	5	15
当他看到你的波浪长发	10	30
科特迪瓦、几内亚、几内亚比绍、马里、毛里塔尼亚、塞内加尔和多哥的妇女组织代表出席了会议。	44	132
政府没有确保引渡受害者能与领事接触，也未争取促进他们的遣返。	30	90
赛格夫... 那是意外	10	24
这就是为什么我们要 匹兹堡， 你哑巴狗娘养的！	21	63
该报告对来自若干国家的经验进行了严格意义上的评价，并提出了政策措施。	34	102
主要和家人呆在一起了	10	30
我知道这不关我的事 但如果你能说说你的烦恼 或许...	25	69
女王肯定觉得他与此事有关	12	36
很有可能	4	12
气候变化是可持续性面临的最重要挑战之一，从根本上讲它是一个全球性问题，其变化轨迹取决于人口与经济增长模式及生产和消费模式之间的互动关系，需要采取全球对策。	77	231
2. 肯尼亚自1965年以来一直是国际原子能机构(原子能机构)成员国。	34	86
我们还认识到，妇女取得成功的事迹和有益的经验能够调动其它妇女学习并在工作中使用信息和通讯技术。	47	141
与会者决定将领导讨论会工作的职务交由委员会主席团负责。	27	81
多久没像这样悠哉地喝红茶了	13	39
他们每次见到她都会鞠躬。	12	36
总督Gutierrez告诉众议院资源委员会说，关岛在国会的指导下八年来一直试图与行政当局共同努力，以改变现状。	55	147
你现在是站在弗里那边的吗？	13	39
其余的电梯为节省电力都已停运	14	42
真是没办法 一直有问不完的话啊	14	42
(e)分段提及奥地利提出的一项要点，指出 " 采购实体参与共谋勾结并不少见 " 。	37	101
也就是说 我们一定是命中了要害	14	42
在这方面，任务地区的特派团人员编写的两份报告被视为十分重要。	30	90
我不是来跟你们谈判的	10	30
296. 在2002-2007年期间，《国家促进居民就业计划》规定了旨在提高妇女在社会生活中的作用，鼓励其职业活动，为协调工作和履行家庭责任创造条件的一系列措施。	80	214
在2008年至2012年期间，阿富汗官方大理石产业的增长相当可观，目前估计每年开采量在124 000至155 000吨之间。	60	140
上或下,我的朋友,由你选择	13	35
我们赞扬一个参与国在进入谈判最后阶段方面取得长足的进展。	28	84
我们未能克服这场危机，致使我们丧失了宝贵时间。	23	69
但你操了我，却不肯娶我	11	33
65. 从2004年开始，在一个管理人才培养中心对副驻地代表和中层管理这一级别运用了同样的能力评估系统，指导训练中层管理工作人员。	64	178
是他要求的 我考验了很多次，那女孩很棒 非常特别	22	66
"只要我的名字被报道 就可以赚钱"	16	44
121． 本报告所述期间的最后一次情况会商于2001年3月30日进行。	34	82
就像安杰尔一样！	8	24
维和部在这方面面临的挑战是加强预算基准与安全理事会报告过程之间的联系。	35	105
对有理由怀疑是犯罪收益的财产，可暂时扣押，扣押目的是保护这些财产，直至刑事程序结束或最终没收这些财产。	51	153
你只会拖累球队 摧毁我的球队	13	39
在这里，马路对面	8	24
就是《永不落单》	8	24
10. 自2000年通过千年发展目标以来，真正的政治承诺、明确的议程和国际支持，使得一些领域，如在减贫和增加获取水的机会方面取得了进展。	67	187
不过，美国支持治疗非法或合法堕胎造成的伤害或疾病，例如包括堕胎后的细心医护。	38	114
她有精神分裂症。	8	24
该项目以毒品和犯罪问题办公室与会员国在该领域特别是在追回被盗资产举措活动框架内所开展的既往工作为基础。	51	153
这个研讨会应在2011年完成下列任务：	19	49
我有亚历士·莫丹拿多的地址 她在两年前的万圣节失踪	24	71
请将本信作为大会议程项目23下的文件分发为荷。	23	65
作为出版商 不得不承认 出版你爸写的指南是我最大的荣幸	25	75
你一定得留下！	7	21
一架F -14 对抗第五代战斗机？	15	37
那就闭嘴 别烦她	7	21
空军学院	4	12
我只拿得三成 也不够买呀	11	33
对，有点冷	5	15
他们就是大白痴 对吧？	10	30
此任务不可零星完成而必须是连贯途径的一部分。	22	66
13. 1988年于瓦莱塔举办的第二次世界电信发展会议通过了瓦莱塔行动计划,核心的六个方案旨在处理发展中国家电信发展的优先领域。	63	173
(d) 如果阿富汗政府提出请求，则在《阿富汗宪法》框架内并在充分尊重落实安全理事会第1267（1999）号决议和安理会其他相关决议所述措施的情况下，提供斡旋，支持实施阿富汗主导的和解方案；	93	257
是爷们就放个响屁	8	24
你们吃肉吗？	6	18
它提供一种基本的、持续的和一定的收入来源，旨在满足个人基本的生存需求。	35	105
莫莉 你姐姐安娜出事了	10	30
联合国志愿人员组织将评价视为一种融合了问责和学习的方式。	28	84
从那时起，北塞浦路斯土耳其共和国主权空域内的所有飞行均在其民航局完全知情和同意的情况下进行，而南塞浦路斯希族塞人行政当局对此没有管辖权或控制权。	72	216
通过综合审查业绩和资源，注重成果的年度报告使开发计划署发现其优势并突出需要解决的问题，以改善其业绩。	50	150
390. 政府认识到，希望工作的妇女作为工作者和家庭照料人，对经济做出了极大贡献，政府致力于消除妨碍某些妇女充分发挥潜能的障碍，并在这方面取得了进展。	74	214
那万沙尔县	5	15
秘书长高兴地注意到，裁军研究金方案为促进提高对裁军、不扩散和军备控制的重要性的认识做出了贡献。	47	141
我觉得我屁股这有点紧	10	30
罗伯特？ 你觉得他有这个胆子？	14	42
静电除尘器或袋式除尘器+碳喷入	15	43
我眼睛睁不开了，茱儿	10	30
而在其他冲突区，武装团体不仅控制与需要援助的人群的接触，还为自己的目的企图对援助资源实行一定程度的控制。	52	156
没错，已经瞎成这样了	10	30
我父母住在乡下	7	21
非缔约国的法院将只在该国自身国际私法规则表明可适用一缔约国的法律时，方才适用公约的条款，在这种情况下，公约作为该外国法律系统的一部分而适用。	70	210
172. 下表提供了2008年1月1日至2009年12月31日业务费用项下的预计支出细目，以便将2010年拟议所需经费和2009年核定资源进行比较。	73	167
你知道吗 如果你没找到 我本会让你活着	17	51
议程项目19：《给予殖民地国家和人民独立宣言》的执行情况(续)(A/C.4/57/3和Add.1-16)	52	108
" 为获得许可所提交的文件包括申请人的个人资料。	23	67
比方说苏格兰本来拥有地方自治权，但仍将在9月投票决定是否独立。 分离主义分子重提18世纪英国的暴行，并称苏格兰可以借此保有全部的北海石油储量，并且不再分担英国的债务。 事实上，双方极有可能要共同承担石油和债务。 愿意留在英国的民众称独立将失去英国市场，此外还可能殃及英镑，并有损苏格兰在欧洲和世界舞台上的影响力。 从目前情况看苏格兰人可能投票留在英国体制内。	175	519
4 见货币基金组织《重债穷国执行情况报告》，2004年8月。	29	75
然后他要计算出冰球移动的速度 以及它的移动方向	22	66
巴黎残废军人院	7	21
(笑声） 特别是干酪味脚气， 你们中有谁有这种脚气吗？	25	73
我有一个请求	6	18
这项工作要求有行之有效、透明的和易为大众接触的监测和责任追究机制。	33	99
我们得唤醒他们 我得进入无畏派内部	16	48
159. 关于商业交易或交易过程的索赔，小组根据所提供的证据认为，Entec与MES具有契约关系，MES在未偿账单中拖欠Entec 17,710英镑。	73	167
解散，中尉	5	15
-冷静点	4	10
我从事贷款这行	7	21
我想我在死去!	7	19
后来美国司法部和20个州的检察长对Microsoft提起了新的诉讼，涉及Microsoft规定所有Windows 98操作系统的买主都必须为终端用户装上Microsoft互联网浏览器 " Internet Explorer " 的做法(这就涉及到网络效应，因为使用与在全球具有支配地位的操作系统相联系的同一浏览器，这对消费者来说是方便的)。	164	376
因此，非洲领导人为欠发达的非洲大陆迫切寻求可持续的解决方法时，将信息和技术领域列为非洲发展新伙伴关系（NEPAD）的优先事项。	63	179
政策与措施及预测、财政资源和 技术转让以及其他问题	24	72
2008年，农村地区有30.4%儿童存在营养不良问题，而城市地区这一比率仅为11.8%。	44	104
你跟几个男人交往过？	10	30
我有一个好消息 也有一个坏消息	14	42
- 我没说你可以说话	9	25
不论在家庭还是社会中妇女参与决策的程度都很低，主要是因为： 社会文化传统和约束； 公民教育和经济教育不足； 财力缺乏；	56	168
我还是认为我比那些从孩子开始就无家可归的人... ...要好的多。	32	84
在这却被雷击了	7	21
第五节关于实地收集，报告了使用众包作为收集地名新方法的情况。	30	90
你希望在家还是在诊所 做血液透析？	16	48
中心对中部非洲培训方案的支持将包括提供资料、承担人权专家的教学费用、向为这些方案工作的年轻研究人员和助理人员发放奖学金，以便他们可以参加由国际知名机构组织的培训。	81	243
他为什么是你的人？	9	27
我心想："慢着 我想他存在很多年了"	17	47
110. 2013年7月经修订后的《民法》生效；届时政府计划撤销对《儿童权利公约》第21条(a)款的保留。	52	128
本报告所述期间,本组织的核查及斡旋工作一直由总部履行,该单位尽力协助萨 * 由于技术上的理由重新印发。 尔瓦多政府和法拉本多·马蒂民族解放阵线(马解阵线)执行和平协定在社会经济领域尚未履行的部分。	95	274
45. 一个行为守则的宗旨是确保联合国职能运作时的秩序、效率和稳定。	33	93
我要去遛科尔特兰了	9	27
减少金融不稳定性的国际政策	13	39
31. 为了尽快完成选举，如果经过三次投票仍然没有候选人获得法定多数票，应暂停投票，以给予机会退出选举。	51	147
你干脆直接告诉 突潭医院的所有人好了	17	51
42. 瑞士呼吁尚未批准《京都议定书》的工业化国家批准该《议定书》，并且表示，希望即将于2005年11月和12月在蒙特利尔举行的议定书缔约方第一次会议和《联合国气候变化框架公约》缔约方会议第十一届会议能够启动一项进程，界定工业化国家的承诺并开始讨论发展中国家有效而公平地参与问题。	139	395
别这样 会闹得很难看	9	27
51. 1995年和1996年期间还继续与突尼斯的阿拉伯人权问题研究所和班珠尔的非洲民主和人权中心合作。	51	131
" 6. 欢迎联合国、各联合国人权条约机构和特别程序与欧洲委员会、欧洲安全与合作组织、阿拉伯国家联盟、美洲人权委员会、非洲人权和人民权利委员会、法语国家国际组织、葡萄牙语国家共同体及其他区域机构等区域组织和区域机构之间不断加强交流；	114	336
30. 公共政策规定和法律对于促进适足住房权十分重要，但是适用法律的某些方式也可导致侵犯适足住房权。	49	141
a 前德意志民主共和国于1989年8月31日加入本议定书。	28	68
我还有别的好消息	8	24
-嗨  -利特医生	7	17
那么现在怎么办？ 得让你负责所有杂务？	18	54
你起到什么好作用了吗	10	30
所以，发展中国家往往发现很难遵守这些复杂和不同的标准，需要在该领域得到技术援助。	40	120
图六显示，2007年所有区域都得益于专题资助款：撒哈拉以南非洲获得39％；亚洲和太平洋30.6％；中东和北非10.1％；以及拉丁美洲6.5％。	71	179
尽管安理会1965年的改革用心良苦，但是它是在目前多数会员国未参与该进程的情况下进行的。	44	124
2004-2005的目标：四个国家明确制订信息和通信技术政策	30	72
(a) 联合国近东巴勒斯坦难民救济和工程处主任专员关于2002年7月1日至2003年6月30日期间的报告；	52	124
这是邀请函	5	15
在他用药以后8小时 突然发作吗？	15	43
朱迪思 我知道	6	18
伦敦对候鸟来说可不是什么最有吸引力的旅游城市	22	66
你了解他们男人	7	21
11. 同样在同次会议上，委员会进行记录表决，以124票赞成、2票反对、52票弃权通过决议草案A/C.2/68/L.12(见第16段，决议草案二)。 表决情况如下：	80	188
其他一些为达到两性代表平衡的规定内容有：特别为妇女开设的课程，以鼓励她们成为公职的候选人（例如弗里堡和瓦莱各州）；或者按时向有建议权的组织、各党派等提供有关妇女代表人数不足的信息，请它们推出更多的妇女（例如日内瓦、卢塞恩和施维茨各州）。	118	354
布洛克，怎么样？	8	24
需要什么尽管说 感谢你们 -别跟我们客气	18	52
扶摇直上！	5	15
。 。 －停止嘲弄我。	9	27
预测的情况是，从2009年1月开始将没有非联合国活动产生的收入，将免除2009年的佣金。	44	114
我决定召集所有贵族、平民和农奴 庆祝8月的圣母升天节	25	73
此外，议会通过了旨在打击贩卖人口的法律。 国会人权委员会同联塞特派团和人权倡导团体合作起草了4项法案,包括《婚姻诉讼法》、《习俗婚姻法》，《无遗嘱继承法》和《家庭暴力法》,以落实《消除对妇女一切形式歧视公约》的规定	106	312
但永远无法消灭遒力会	10	30
你所有的甜言蜜语。	9	27
在这个你可以 想怎样就怎样的世界里 要善良	19	57
能否赏脸共进午餐？	9	27
这样想想。	5	15
有时候人们会想，嗯，那可够恼人的 如果在我房子下面挖隧道的话	29	87
选举将在届会开始时进行，前提是届时已完成关于《公约》缔约方会议第十三届会议主席团成员提名的磋商。	48	144
根据这一举措，观察员部队将进一步降低燃料消耗，将一些军事据点接入当地电网，而不再使用矿物燃料发电机。	50	150
自从... ...我们一起工作以来, 你从来都不听我的!	26	62
吃吧 恩佐	4	12
你说邦尼克什么的	8	24
但是由于粮食供应、健康与卫生问题相互影响，额外粮食的全部营养好处还不能显现出来 -- -- 特别是鉴于全部人口需要方面实际和重大分歧。	64	184
妇女精神健康战略协商文件于2002年秋季公布，并在现有承诺的基础上致力于：	37	103
(e) 保安层载有微案文；	12	30
如果这些保留被视为不符合公约的目标和重视，丹麦便将其反对意见提交给联合国秘书处。	40	120
6. 在机构一级,署长负责主持由秘书长建立的联合国发展集团(发展集团),以实现本组织的发展工作的更大协调和政策连贯性。	58	162
基本商品高价中的一线希望	12	36
池叙俊设计师不是我的朋友 是生意伙伴	17	51
在会议期间，鼓励有关国家将它们的承诺变为具体的行动，包括在联刚特派团的协助下，重新开放外交使团，发展贸易联系，解决难民问题，实现边境管制正常化。	72	216
一两周之后就可以拆线了 好吗	13	39
(g) 将报告交由外交部的协调委员会和人权事务局(该局是智利人权事务报告的责任机构) 审议。	44	122
比较像是... 同事	9	21
重点继续是在确保质量、及时性和成本效益的同时，通过以下方面从全系统角度实现最佳业绩：除其他外进一步将信息技术工具纳入编辑、参考资料、名词支助、翻译、承包翻译和外部翻译质量保证等会议服务工作流程；以及持续提供拓展和提升工作人员技能和吸引和保留合格语言工作人员的培训机会。	134	402
你告诉我们的那个地方叫啥名字...	17	45
我不会让罪犯决定费城该不该有地方检察官	19	57
是这样 Tom和我 我们一直在谈 你怎么知道我在镇上的	24	66
六、对发展中国家的影响. 38 - 44 20	19	41
尽管我们面临着严重的问题，尽管我们遭受着严酷、残暴的封锁，我国已经制定并继续实施与拉丁美洲和加勒比、非洲及亚洲若干最不发达国家的广泛合作方案。	71	213
行政支助和会议事务费用小计	13	39
就颤栗度而言 我给泪落滩旅店打六颗骷髅头	19	57
说白了是个抓狗的	8	24
你要坐在车里吗？	8	24
我谨转递这一审查结果作为供阁下审议本组织同一时期拟议战略框架的一份资料（见附件）。	41	123
2.2.1.2 宪法法院利用《公约》解释《权利法案》的案件的例子有：	33	85
我不只是个女生	7	21
明天再给我讲吧	7	21
我妈一直是个坚强冷静的人	12	36
3月25日，安全理事会举行了关于西非跨界问题的公开会议。 会议由法国合作与法语事务部长皮埃尔-安德烈·维尔策主持，秘书长以及加纳外交部长纳纳·阿库福-阿杜出席了会议。	82	234
一份辣炒年糕 还有一份鸡爪炒饭	14	42
如果一国本身断言无法履行其义务，则应当采取这一步骤。	26	78
对精子的影响：0.83 毫克/公斤体重/日（LOAEL）	27	59
欧洲联盟的中欧和东欧各联系国、联系国塞浦路斯、欧洲自由贸易区国家冰岛和列支敦士登以及欧洲经济区成员国支持本项声明。	57	171
但是你为什么要逃呢?	10	28
15. 认识到联合检查组的工作，在这方面表示注意到联检组关于联合国系统各组织机构间工作人员流动和工作－生活平衡兼顾问题的报告；	62	180
横贯大陆的塔格特这个圉家最大的铁路 也是少数几个在运行的事物	29	87
19. Blum女士（哥伦比亚）说，尽管哥伦比亚非常重视打击种族主义和不容异己现象，但这一事项已经被包括了；哥伦比亚代表团因此不能支持列入该增列项目的请求。	77	217
* 联布综合办媒体监督会，2008年12月6日中午	24	56
儿童和武装冲突	7	21
这种婚姻仅限于几个小时，以便让其他圣战者能够以同样的方式结婚。	31	93
两项公约应将恐怖主义行为定性为犯罪行为，而不论主导恐怖主义行为的是何种政治目的，移交刑事法庭适用于所有恐怖主义行为者，而不论其身份或地位。	69	207
我们期待着继续与联合国合作，一起把平等、发展和和平带给所有的妇女和女孩 -- -- 带给我们的家庭，我们的国家和我们的世界。	59	169
我当时是洛城警署和联调局联合任务组的一员	20	60
2006年计划开展类似的活动。	15	37
六. 执行手段	6	16
奥基奥先生(刚果）（以法语发言）：主席女士，我要代表刚果，热烈祝贺你实至名归的当选，并向主席团其余成员表示祝贺。	56	166
27． 根据经济及社会理事会第1997/2号商定结论所载的具体准则，秘书长1997年10月的来信以及2000年6月举行的大会特别会议的成果，已为评估将性别观点纳入主流的进展情况制订一个框架。	94	244
小姐，党卫军的兰达为您服务	13	39
俗话说得好	5	15
㈦ 对建立和平及建设和平的工作提供政治支助，包括对实地行动的支助；	32	96
? 谈一谈?	5	11
坎宁翰先生	5	15
政府和选举高等法院发起运动，促进妇女在上次选举中参加投票。	29	87
是啊 吸了很多现场的粉尘	11	33
说出自己的感受吧	8	24
作为传说中的加乘器 助你成长 实现无法实现的目标	22	66
817. 在伙伴关系方面，300多个国际高等教育和研究机构与新闻部的 " 学术影响倡议 " 建立了联系。	47	123
他顺从了命运	6	18
